,Ijcnn1_Comp,Ijcnn1_Comm,Webspam_Comp,Webspam_Comm,Epsilon_Comp,Epsilon_Comm
1,0.5232708235,1.5908081899,2.5994814469,2.8404340991,3.4806102125,3.7596743533
2,0.4383166893,1.3048231419,2.3947365464,2.1716778604,3.3904096387,3.0755255213
4,0.4434445065,1.0241712253,2.3612640314,1.9346202583,3.3789192278,2.8406782585
8,0.3735413604,0.7808416263,2.3564356407,1.8638347493,3.374142149,2.6259427064
16,0.3735561191,0.5678441327,2.3537029971,1.874688015,3.3762888169,2.7552145676
32,0.3525243507,0.4026870182,2.3479082959,1.6781437264,3.3680590074,2.5609697765
64,0.3633574163,0.2402552919,2.3615326962,1.4927462174,3.366895137,2.4079496922
128,0.3408462677,0.194282532,2.3527339595,1.3106919642,3.3664793518,2.2638043711
256,0.3409617652,0.0921739273,2.3488181991,1.2735145928,3.3642918372,2.1493999011
512,0.3484545903,0.04341308,2.3448828098,1.0668243757,3.3670382303,2.1627844338
1024,0.3389789522,-0.1049958071,2.3421990159,0.9944931922,3.3677283382,2.0823160528
2048,Err:502,Err:502,Err:502,Err:502,3.3681460232,2.0037767075
4096,Err:502,Err:502,Err:502,Err:502,3.3659431869,1.9652028197
