,Ijcnn1_Comp,Ijcnn1_Comm,Webspam_Comp,Webspam_Comm,Epsilon_Comp,Epsilon_Comm
1,1.493498152,18.56920016,204.0270330667,470.322409,1527.3612086667,5677.6045366667
2,1.11748224,9.62350765,127.2669013667,96.5824446228,1255.5216007778,1112.9297475167
4,1.057534769,4.95174869,123.3344912556,56.0481195366,1227.9937614445,615.3244278411
8,1.079068975,2.649142412,117.09929165,47.4303767478,1210.3603527778,363.0104801541
16,0.922591734,1.567517744,115.7442723333,48.0067126767,1223.8281523333,513.0269707
32,0.898119672,1.010462749,114.5477605667,31.0571226667,1214.4856713333,324.5209254667
64,0.892831027,0.948732235,116.9626338333,19.48277529,1207.719134,220.4473929667
128,0.916110467,0.4958293868,116.2546621,13.523118629,1200.6131543333,169.3796914167
256,0.932866309,0.3579416775,112.7596504667,11.4012930933,1205.146454,124.4734891533
512,0.879139004,0.2590659275,115.3162606667,8.4893794017,1190.078153,91.6717650833
1024,0,0,116.5797547333,6.960986553,1195.1752733333,72.8711812233
2048,0,0,0,0,1189.8159786667,61.4941287123
4096,0,0,0,0,1185.906167,60.9670535787
