,Ijcnn1_Comp,Ijcnn1_Comm,Webspam_Comp,Webspam_Comm,Epsilon_Comp,Epsilon_Comm
1,1.326020424,1.6818617763,3.4330907558,3.0840478473,4.2988530748,3.8628831086
2,1.2516649369,1.3971800469,3.2556818867,2.5631751964,4.2139481829,3.2266471583
4,1.2198268065,1.120276251,3.193727028,2.2128667652,4.200785448,3.0283765018
8,1.1861725895,0.8519396533,3.1886244408,1.9900879547,4.1977348506,2.8079714972
16,1.1743098393,0.586987481,3.1870975217,2.1550769022,4.1799188274,2.9561666481
32,1.1615863995,0.3950716804,3.1822096175,1.9507921011,4.1718844209,2.7755994965
64,1.1608244077,0.1923894135,3.18914473,1.8188073185,4.1779788147,2.5880316132
128,1.1569102569,0.0370437567,3.1935594367,1.6743723249,4.1666013459,2.4500875973
256,1.1618915212,-0.2009230086,3.1846751488,1.516051664,4.163857609,2.3557190889
512,1.1560504753,-0.167956391,3.1814509253,1.3116038924,4.1986217195,2.2209051554
1024,1.1597571336,-0.2285001758,3.1798021515,1.2763176316,4.1920753974,2.090324876
2048,1.166488134,-0.5730035023,3.1780857173,1.1077017607,4.1978055237,1.8936368728
4096,1.1559663267,-0.1914863801,3.178401673,1.1073667706,4.1971289481,2.0280404618
