,Ijcnn1_Comp,Ijcnn1_Comm,Webspam_Comp,Webspam_Comm,Epsilon_Comp,Epsilon_Comm
1,0.9103286863,1.7536061234,3.0717847786,3.1327731776,4.0196557083,3.8640754516
2,0.871337546,1.458257787,2.9365099897,2.4458154086,3.93635305,3.2047738695
4,0.8227018053,1.1621608479,2.9078713896,2.1976647203,3.9209089852,2.9881732984
8,0.7734362969,0.9098973019,2.9039893665,1.9970524564,3.9153663623,2.8113424961
16,0.7601736708,0.6781669493,2.8924590821,2.0999815287,3.9258248518,2.9711356656
32,0.7723085838,0.4551873057,2.8922028171,1.8887817811,3.9255623927,2.7799230348
64,0.7547549225,0.3001662395,2.9080397676,1.682461946,3.9105175091,2.6244066249
128,0.746517031,0.1986987099,2.9121273971,1.7383936052,3.909025086,2.5654975724
256,0.7529190514,0.0730657249,2.9126993938,1.571780126,3.9079605104,2.3963963603
512,0.7446104083,0.0865786108,2.905558044,1.4690329782,3.9104536248,2.2412733604
1024,0.7598122919,-0.0997283292,2.8997602604,1.4030894942,3.9083706232,2.1957660343
2048,0.7451126931,0.0371436813,2.9023198495,1.2497302347,3.9069252322,2.1975236584
4096,0.7431386835,-0.1849263803,2.884858447,0.808103925,3.9070031648,2.0994164432
