,Ijcnn1_Comp,Ijcnn1_Comm,Webspam_Comp,Webspam_Comm,Epsilon_Comp,Epsilon_Comm
1,4.81364381,41.20125521,728.2385313333,1012.1259826667,6025.5619316667,6456.4758555556
2,3.782441392,21.36938116,451.8901299222,214.0242782548,4932.0913183158,1900.0867560232
4,3.368911986,11.27668655,426.3133457111,117.8405602997,4694.285187,1085.9119559638
8,3.220861702,6.11948623,416.9162358111,68.8231500441,4627.9164264762,700.5607282999
16,4.303344226,2.75034502,410.0121918667,103.8735771333,4919.9546533333,766.2815628667
32,3.297325189,1.924551402,409.4909110667,68.0257183767,4680.410463,493.75307785
64,3.282133714,1.207315373,422.4939102333,39.0930007867,4449.1182208333,358.5126378667
128,3.304624129,0.8344798161,423.8671455333,22.1887693933,4449.4088231667,259.0099110667
256,3.128293646,0.8824374079,409.465941,18.77049651,4420.7090336667,230.6641144633
512,3.310377665,0.4093986731,407.5646277667,14.3377373543,4594.6210183334,483.2602691733
1024,3.351641296,0.3875374164,405.7936469,11.203694379,4583.5491085,445.9926675067
2048,3.276960547,0.2298572076,406.9474729667,7.0184991723,4575.5423211667,382.8700121497
4096,0,0,0,0,4676.1044071667,397.4469768127
